nb_users,task,running_time
20,median,0.15591602325439452
20,regression,0.14364100694656373
40,median,0.2684211254119873
40,regression,0.25337769985198977
60,median,0.36000958681106565
60,regression,0.3464347839355469
80,median,0.45877981185913086
80,regression,0.4678371071815491
100,median,0.552024781703949
100,regression,0.5673451066017151
120,median,0.6717397809028626
120,regression,0.6649051547050476
140,median,0.7735526442527771
140,regression,0.7831049084663391
160,median,0.9388751983642578
160,regression,0.9261734843254089
180,median,1.1127409219741822
180,regression,1.1278013229370116
200,median,1.4895797491073608
200,regression,1.4626668453216554
